Part Description,Material,Size,Operations,Finish,Target Price (CHF)
"Aluminum bracket, 100x50x5 mm, drilling, anodized",Aluminum,100x50x5,Drilling,Anodized,60
"Steel gear, 30x30x10 mm, milling, painted",Steel,30x30x10,Milling,Painted,80
"Stainless steel plate, 200x150x6 mm, laser cut, brushed",Stainless Steel,200x150x6,Laser Cutting,Brushed,110
"Brass bushing, 40x20x15 mm, turning, polished",Brass,40x20x15,Turning,Polished,55
"Plastic cover, 80x60x3 mm, injection molding, smooth",Plastic,80x60x3,Injection Molding,Smooth,25
"Copper connector, 25x8x2 mm, punching, tin plated",Copper,25x8x2,Punching,Tin Plated,18
"Aluminum profile, 300x25x10 mm, extrusion, anodized",Aluminum,300x25x10,Extrusion,Anodized,90
"Steel shaft, 180x20x20 mm, turning, ground",Steel,180x20x20,Turning,Ground,70
"Bronze gear, 50x50x20 mm, hobbing, raw",Bronze,50x50x20,Hobbing,Raw,120
"ABS housing, 150x90x4 mm, injection molding, textured",ABS,150x90x4,Injection Molding,Textured,30
"Delrin washer, 20x5x1 mm, CNC, smooth",Delrin,20x5x1,CNC,Smooth,7
"Stainless tube, 500x15x2 mm, bending, polished",Stainless Steel,500x15x2,Bending,Polished,60
"Aluminum heatsink, 120x60x15 mm, milling, anodized",Aluminum,120x60x15,Milling,Anodized,85
"Steel mounting plate, 100x75x5 mm, plasma cut, painted",Steel,100x75x5,Plasma Cutting,Painted,45
"Brass nut, 12x8x8 mm, threading, raw",Brass,12x8x8,Threading,Raw,11
"Nylon bushing, 30x10x5 mm, CNC, smooth",Nylon,30x10x5,CNC,Smooth,13
"Steel clamp, 50x20x4 mm, laser cut, galvanized",Steel,50x20x4,Laser Cutting,Galvanized,21
"Titanium spacer, 15x8x2 mm, turning, polished",Titanium,15x8x2,Turning,Polished,35
"PVC cap, 40x20x5 mm, injection molding, smooth",PVC,40x20x5,Injection Molding,Smooth,9
"Copper plate, 60x40x3 mm, CNC, tinned",Copper,60x40x3,CNC,Tinned,23
"Aluminum disk, 70x70x5 mm, waterjet cut, anodized",Aluminum,70x70x5,Waterjet Cutting,Anodized,33
"Steel cover, 120x60x2 mm, stamping, painted",Steel,120x60x2,Stamping,Painted,28
"Brass insert, 10x6x3 mm, CNC, raw",Brass,10x6x3,CNC,Raw,7
"Polycarbonate lens, 40x40x2 mm, laser cut, clear",Polycarbonate,40x40x2,Laser Cutting,Clear,15
"Steel dowel pin, 35x5x5 mm, grinding, polished",Steel,35x5x5,Grinding,Polished,12
"Aluminum ring, 55x40x5 mm, turning, anodized",Aluminum,55x40x5,Turning,Anodized,22
"Stainless washer, 25x10x2 mm, stamping, polished",Stainless Steel,25x10x2,Stamping,Polished,10
"Delrin spacer, 18x5x2 mm, CNC, smooth",Delrin,18x5x2,CNC,Smooth,8
"Steel bracket, 90x40x6 mm, bending, painted",Steel,90x40x6,Bending,Painted,37
"ABS cover, 60x50x2 mm, injection molding, textured",ABS,60x50x2,Injection Molding,Textured,17
"Aluminum block, 40x40x40 mm, milling, raw",Aluminum,40x40x40,Milling,Raw,39
"Brass shaft, 100x8x8 mm, turning, polished",Brass,100x8x8,Turning,Polished,29
"Steel base plate, 200x100x10 mm, plasma cut, painted",Steel,200x100x10,Plasma Cutting,Painted,100
"Polyamide wheel, 30x10x8 mm, CNC, smooth",Polyamide,30x10x8,CNC,Smooth,15
"Stainless bolt, 50x8x8 mm, threading, polished",Stainless Steel,50x8x8,Threading,Polished,19
"Aluminum fin, 120x25x3 mm, extrusion, anodized",Aluminum,120x25x3,Extrusion,Anodized,41
"Bronze washer, 22x10x2 mm, CNC, raw",Bronze,22x10x2,CNC,Raw,14
"Nylon gear, 45x45x12 mm, hobbing, smooth",Nylon,45x45x12,Hobbing,Smooth,24
"Steel end cap, 40x40x10 mm, stamping, painted",Steel,40x40x10,Stamping,Painted,19
"PVC mounting plate, 80x40x3 mm, CNC, smooth",PVC,80x40x3,CNC,Smooth,11
"Aluminum tube, 250x12x2 mm, bending, anodized",Aluminum,250x12x2,Bending,Anodized,32
"Delrin guide, 50x15x5 mm, CNC, smooth",Delrin,50x15x5,CNC,Smooth,13
"Stainless pin, 25x6x6 mm, turning, polished",Stainless Steel,25x6x6,Turning,Polished,10
"Steel cover, 70x35x3 mm, plasma cut, painted",Steel,70x35x3,Plasma Cutting,Painted,14
"Brass collar, 18x9x5 mm, CNC, raw",Brass,18x9x5,CNC,Raw,6
"ABS spacer, 20x8x2 mm, injection molding, textured",ABS,20x8x2,Injection Molding,Textured,8
"Aluminum plate, 120x80x4 mm, laser cut, anodized",Aluminum,120x80x4,Laser Cutting,Anodized,44
"Steel shaft, 200x10x10 mm, turning, ground",Steel,200x10x10,Turning,Ground,25
"Polycarbonate shield, 60x60x3 mm, CNC, clear",Polycarbonate,60x60x3,CNC,Clear,18
"Stainless frame, 150x60x6 mm, bending, polished",Stainless Steel,150x60x6,Bending,Polished,38
"Bronze bushing, 35x12x8 mm, turning, raw",Bronze,35x12x8,Turning,Raw,22
"Steel pin, 40x8x8 mm, grinding, polished",Steel,40x8x8,Grinding,Polished,10
"PVC gasket, 70x20x2 mm, stamping, smooth",PVC,70x20x2,Stamping,Smooth,9
